,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(æg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(æg),Folic_Acid_(æg),Food_Folate_(æg),Folate_DFE_(æg),Choline_Tot_ (mg),Vit_B12_(æg),Vit_A_IU,Vit_A_RAE,Retinol_(æg),Alpha_Carot_(æg),Beta_Carot_(æg),Beta_Crypt_(æg),Lycopene_(æg),Lut+Zea_ (æg),Vit_E_(mg),Vit_D_æg,Vit_D_IU,Vit_K_(æg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,MicroNutrientScore,Iron_(mg)_Density,Fiber_TD_(g)_Density,Sugar_Tot_(g)_Density,Calcium_(mg)_Density,Magnesium_(mg)_Density,Potassium_(mg)_Density,Sodium_(mg)_Density,Vit_C_(mg)_Density,Folate_Tot_(æg)_Density,Vit_A_RAE_Density,Vit_E_(mg)_Density,Vit_D_æg_Density,NutrientsGt0.5,NutrientsGt0.75,NutrientsGt1,NutrientsGt2,Grade,Fat_Cal_%,Prot_Cal_%,Carb_Cal_%,Total_Cal_%,Sugar_Cal_%,Cluster
3634,11993,"MUSHROOMS,MAITAKE,RAW",90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1.0,0.3,10.0,74.0,204.0,1.0,0.75,0.252,0.059000000000000004,2.2,0.0,0.146,0.242,6.585,0.27,0.055999999999999994,21.0,0.0,21.0,21.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,28.1,1123.0,0.0,0.03,0.03,0.09,0.0,70.0,"1 cup, diced",1.1,"1 piece, whole",0.0,2.4911197004178254,2.4193548387096775,4.584040747028863,2.782258064516129,0.06451612903225806,1.6129032258064517,2.8002745367192863,0.04301075268817204,0.0,3.3870967741935485,0.0,0.04301075268817204,120.86021505376345,6,6,6,5,4,0.055161290322580644,0.2503225806451613,0.5509677419354838,0.8564516129032258,0.2670967741935484,3
3637,11998,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3.0,0.31,10.0,108.0,364.0,9.0,0.53,0.28600000000000003,0.069,18.6,0.0,0.059000000000000004,0.13,4.494,1.14,0.14800000000000002,28.0,0.0,28.0,28.0,21.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,11.2,446.0,0.0,0.06,0.02,0.11699999999999999,0.0,86.0,"1 cup, diced",84.0,"1 piece, whole",3.0,3.2703697105432825,3.522727272727273,3.1100478468899526,4.734848484848485,0.27272727272727276,2.272727272727273,7.040618955512573,0.5454545454545455,0.0,6.363636363636364,0.0,0.12121212121212122,67.87878787878788,6,6,6,6,4,0.1431818181818182,0.3836363636363636,0.46727272727272734,0.9940909090909091,0.45454545454545453,3
3583,11939,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3.0,0.4,13.0,135.0,437.0,11.0,0.65,0.389,0.067,21.9,0.0,0.07200000000000001,0.40299999999999997,6.255,1.262,0.122,19.0,0.0,19.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,524.0,0.0,0.037000000000000005,0.038,0.695,0.0,121.0,"1 cup, sliced",0.0,0,0.0,2.9577480016990387,3.4482758620689657,3.992740471869329,3.247126436781609,0.20689655172413793,2.2413793103448274,6.412325752017608,0.5057471264367815,0.0,3.275862068965517,0.0,0.0,60.22988505747126,6,6,6,6,4,0.18,0.45241379310344826,0.30896551724137933,0.9413793103448276,0.31172413793103443,3
701,4589,"FISH OIL,COD LIVER",0.0,902,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,10000.0,0.0,22.608,46.711000000000006,22.541,570.0,4.0,1 tsp,13.6,1 tbsp,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.90983000739098,0.0,36.95491500369549,2,2,2,2,2,0.9977827050997783,0.0,0.0,0.9977827050997783,0.0,6
4462,15008,"CARP,RAW",76.31,127,17.83,5.6,1.46,0.0,0.0,0.0,41.0,1.24,29.0,415.0,333.0,49.0,1.48,0.057,0.042,12.6,1.6,0.115,0.055,1.64,0.75,0.19,15.0,0.0,15.0,15.0,65.0,1.53,30.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.63,24.7,988.0,0.1,1.083,2.3280000000000003,1.431,66.0,85.0,3 oz,218.0,1 fillet,0.0,1.703352506468606,2.440944881889764,0.0,0.0,0.6456692913385826,1.141732283464567,1.1157647847210588,0.5144356955380577,0.2799650043744532,0.5905511811023622,0.15748031496062992,0.6614173228346457,25.93175853018373,7,4,4,2,3,0.3968503937007874,0.5615748031496063,0.0,0.9584251968503936,0.0,6
3024,11240,"MUSHROOMS,MOREL,RAW",89.61,31,3.12,0.57,1.58,5.1,2.8,0.6,43.0,12.18,19.0,194.0,411.0,21.0,2.03,0.625,0.5870000000000001,2.2,0.0,0.069,0.205,2.252,0.44,0.136,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,206.0,0.0,0.065,0.052000000000000005,0.433,0.0,66.0,1 cup,12.9,1 piece,0.0,3.7685872195932526,98.2258064516129,4.753820033955857,0.8064516129032258,2.7741935483870965,3.064516129032258,5.641729581331503,0.9032258064516129,0.0,1.4516129032258065,0.0,0.0,21.93548387096774,7,7,7,6,4,0.16548387096774192,0.40258064516129033,0.2967741935483871,0.8648387096774194,0.07741935483870968,0
4492,15038,"HALIBUT,GREENLAND,RAW",70.27,186,14.37,13.84,1.0,0.0,0.0,0.0,3.0,0.66,26.0,164.0,268.0,80.0,0.4,0.03,0.012,36.5,0.0,0.06,0.08,1.5,0.25,0.42,1.0,0.0,1.0,1.0,61.8,1.0,47.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.73,27.4,1097.0,0.1,2.419,8.378,1.367,46.0,85.0,3 oz,204.0,.5 fillet,0.0,1.2948854825999645,0.8870967741935485,0.0,0.0,0.03225806451612903,0.6989247311827957,0.6131320064058567,0.5734767025089607,0.0,0.026881720430107527,0.16726403823178015,0.5232974910394265,19.6415770609319,5,2,1,1,2,0.6696774193548387,0.3090322580645161,0.0,0.9787096774193549,0.0,6
4531,15077,"SALMON,CHINOOK,SMOKED",72.0,117,18.28,4.32,2.62,0.0,0.0,0.0,11.0,0.85,18.0,164.0,175.0,672.0,0.31,0.23,0.017,32.4,0.0,0.023,0.10099999999999999,4.72,0.87,0.278,2.0,0.0,2.0,2.0,89.0,3.26,87.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,1.35,17.1,685.0,0.1,0.929,2.023,0.995,23.0,28.0,"1 oz, boneless",85.0,3 oz,0.0,1.552774241781334,1.816239316239316,0.0,0.0,0.188034188034188,0.7692307692307692,0.6364793598836151,7.658119658119658,0.0,0.08547008547008547,0.49382716049382713,1.5384615384615385,19.48717948717949,5,4,3,1,3,0.3323076923076923,0.624957264957265,0.0,0.9572649572649573,0.0,6
3023,11239,"MUSHROOMS,CHANTERELLE,RAW",89.85,38,1.49,0.53,1.26,6.86,3.8,1.16,15.0,3.47,13.0,57.0,506.0,9.0,0.71,0.353,0.28600000000000003,2.2,0.0,0.015,0.215,4.085,1.075,0.044000000000000004,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,212.0,0.0,0.0,0.0,0.0,0.0,54.0,1 cup,5.4,1 piece,0.0,3.3692609182530795,22.828947368421055,5.263157894736842,1.2719298245614035,0.7894736842105263,1.710526315789474,5.666293393057111,0.31578947368421056,0.0,0.2631578947368421,0.0,0.0,18.596491228070175,6,6,5,4,4,0.1255263157894737,0.1568421052631579,0.3221052631578948,0.6044736842105264,0.12210526315789473,3
4705,15264,"SALMON,SOCKEYE,CND,DRND SOL,WO/ SKN & BONES",67.78,158,26.33,5.87,1.89,0.0,0.0,0.0,37.0,0.48,24.0,236.0,312.0,386.0,0.58,0.07,0.011000000000000001,34.6,0.0,0.033,0.214,7.689,0.0,0.12,4.0,0.0,4.0,4.0,83.3,5.54,187.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,2.09,21.5,859.0,0.1,1.2109999999999999,1.925,1.551,66.0,85.0,3 oz,247.0,"1 can, drained solids, bone and skin removed",0.0,1.5505551066822276,0.7594936708860759,0.0,0.0,0.46835443037974683,0.7594936708860759,0.8402908699165095,3.257383966244726,0.0,0.12658227848101267,0.7876230661040787,1.7637130801687764,18.143459915611814,6,6,2,1,3,0.33436708860759495,0.6665822784810126,0.0,1.0009493670886076,0.0,6
